1234567894561,I am mod 1
123,Invalid ISBN
1234596587346,I am mod 5
7894562356846,I am mod 5
4568943562,[456894356]
7893564238512,I am mod 9
7894562456123,I am mod 2
78956542326,Invalid ISBN
4562389764,[456238976]
1234569875642,I am mod 0
45689785623,Invalid ISBN
4568965x78623,I am mod 7
1234563859653,I am mod 8
56895623456,Invalid ISBN
2568785632,[256878563]
"",Invalid ISBN
2568785632,""
1234567896541,I am mod 1
1234568971234,I am mod 5
4564894894894,I am mod 0
4561237894,[456123789]
123456897542,Invalid ISBN
5687943251897,Invalid ISBN
456456456464654,Invalid ISBN
65445689656,Invalid ISBN
456123984456321,Invalid ISBN
456789456123,Invalid ISBN
456789321654,Invalid ISBN
123456789456465,Invalid ISBN
4567894561234987,Invalid ISBN
789456123456789,Invalid ISBN
123456789456456456,Invalid ISBN
123456789654321,Invalid ISBN
1234567896541,Invalid ISBN
12345698765416,Invalid ISBN
4567891@89456,Invalid ISBN
1234567897889,Invalid ISBN
45645646465,Invalid ISBN
1231231231321,Invalid ISBN
123456456456465,Invalid ISBN
123123123131321,Invalid ISBN
1234567893625,Invalid ISBN
45645646,Invalid ISBN
456456465465654,Invalid ISBN
45646546546464,Invalid ISBN
